
ITENS
ID PESO VALOR
0 8 91
1 7 60
2 10 63
3 4 40
4 5 16
5 3 48
6 8 14
7 7 41
8 3 2
9 10 84
10 8 19
11 7 35
12 5 85
13 7 33
14 5 93
15 2 93
16 7 4
17 3 82
18 5 4
19 7 65
20 3 37
21 3 51
22 10 18
23 7 94
24 10 34
25 9 64
26 4 45
27 4 30
28 9 14
29 5 75
30 4 73
31 2 78
32 8 9
33 6 80
34 3 81
35 10 44
36 3 18
37 2 18
38 6 96
39 8 35
40 5 4
41 7 69
42 9 12
43 9 45
44 8 87
45 4 39
46 6 7
47 2 90
48 4 39
49 4 24
50 7 40
51 2 98
52 5 71
53 4 97
54 3 83
55 10 22
56 10 90
57 7 4
58 9 75
59 6 4
60 4 35
61 10 45
62 10 18
63 10 76
64 8 97
65 5 83

Tempo de execução: 1.7188e-05 segundos

Mochila: 34 63 38 65 52 33 4 37 20 35 14 22 2 31 36 19 30 64 3 10 25 7 59 56 39 24 50 12 21 42 29 5 61 0 26 54 1 9 15 13 18 58 8 46 27 51 16 53 62 45 44 43 41 17 55 60 49 48 57 32 47 23 11 28 40 6 
Valor: 3320
Peso: 405
